"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000226397",680.838312495017,-10.8745778564388,0.955625179191603,-11.3795430397073,5.28760606058648e-30,1.98824563090173e-25
"ENSG00000224144",581.202462409992,-10.6210130878698,0.958158652762068,-11.0848167547752,1.48654482993739e-28,2.7948529347653e-24
"ENSG00000177596",448.228875890912,-10.405349826384,0.972759171326349,-10.6967378289493,1.05424581088848e-26,1.32139169936761e-22
"ENSG00000225741",335.495182895843,-9.98757904732438,0.945978916520707,-10.5579298575263,4.66843638162051e-26,4.38856362054236e-22
"ENSG00000211912",569.397073643742,-10.7493198062677,1.0478853935853,-10.2581063464291,1.08819728436167e-24,8.18367885731354e-21
"ENSG00000236452",372.218860804362,-10.1350590884457,1.04731433315547,-9.67718932854628,3.76936047015e-22,2.36225820664301e-18
"ENSG00000233577",326.293170013006,-9.94483881395475,1.03678071391239,-9.59203685071164,8.63629655609839e-22,4.63917175860588e-18
"ENSG00000261363",481.965961089643,-10.4033123638699,1.09058688829433,-9.53918708865159,1.43956273850421e-21,6.76630476165442e-18
"ENSG00000249667",479.58438673137,-10.3961251896337,1.0951648024163,-9.49274955394512,2.25019126719269e-21,9.40129911433107e-18
"ENSG00000229964",401.764909408808,-10.2444408905468,1.09605398151681,-9.34665724800319,9.04615263778865e-21,3.0245548328346e-17
"ENSG00000256714",372.013316463931,-10.1336803192978,1.08500059906519,-9.33979237249152,9.65232115153854e-21,3.0245548328346e-17
"ENSG00000263331",384.233344883041,-10.1797049480794,1.08890152229632,-9.34860016231034,8.88153638116729e-21,3.0245548328346e-17
"ENSG00000258705",427.918848062653,-9.95199781075563,1.08006099766111,-9.21429237080762,3.13338169422353e-20,9.06318603586102e-17
"ENSG00000258511",342.519949292556,-10.0138019135236,1.09869038265701,-9.11430742599824,7.91745360599217e-20,2.07594144881895e-16
"ENSG00000271010",324.456326193575,-9.83130873820729,1.07924466998681,-9.10943459959589,8.28124082024472e-20,2.07594144881895e-16
"ENSG00000230313",310.87591095619,-9.87391584788163,1.08668503647727,-9.08627202587612,1.02493096510002e-19,2.32917117430246e-16
"ENSG00000172538",872.407433233032,-10.5455935614933,1.16098319205427,-9.08333008924421,1.05302669972719e-19,2.32917117430246e-16
"ENSG00000233260",293.046575496988,9.65706179760702,1.06875849785136,9.035775450695,1.62843710576568e-19,3.40180511394451e-16
"ENSG00000271607",958.287427447287,-10.66655832895,1.18503168858117,-9.00107434402957,2.23519523168714e-19,4.42356900536315e-16
"ENSG00000260171",1153.11443736021,10.6096125443021,1.18006526544833,8.99069979851608,2.45661205091761e-19,4.61867631693019e-16
"ENSG00000256515",442.596923175731,-10.3831213377577,1.15974042342443,-8.95297010265359,3.46043606324145e-19,6.19615794523834e-16
"ENSG00000228432",280.421502371964,-9.48102788107892,1.06043623862833,-8.94068642292211,3.86760406155481e-19,6.61043854193563e-16
"ENSG00000234956",435.678605508131,-10.3603106912034,1.16699474370577,-8.87776979894914,6.82142288830278e-19,1.11521366715635e-15
"ENSG00000267773",235.365546336529,-9.47166004522463,1.07691807023276,-8.79515378841907,1.42852190684504e-18,2.23813669754946e-15
"ENSG00000205267",345.041329791893,-9.91989732077481,1.12868529641599,-8.78889567559203,1.51037237769972e-18,2.2717208858506e-15
"ENSG00000230023",826.282045714857,-10.9413699712567,1.24655107752342,-8.77731379687579,1.67425380311846e-18,2.33389062370395e-15
"ENSG00000253491",425.59475786681,-10.3263160609682,1.17649224751678,-8.77720706002429,1.67584295622591e-18,2.33389062370395e-15
"ENSG00000226987",359.762515377861,-9.96411191953563,1.1371198492036,-8.76258727390445,1.90819274203076e-18,2.56256655306574e-15
"ENSG00000265929",350.652122179979,-9.90527376178617,1.13096392638282,-8.75825791673687,1.98291040541341e-18,2.57108265739155e-15
"ENSG00000230322",423.399543312848,-10.0839103349478,1.15471215244012,-8.73283468407145,2.48367978551029e-18,3.11304424315859e-15
"ENSG00000252641",227.556115014983,-9.14475936795237,1.04901660834249,-8.71745908999633,2.84514564476985e-18,3.45106988821406e-15
"ENSG00000211886",326.051130287371,-9.77973909735617,1.12523731178612,-8.69126805067685,3.58416274649359e-18,4.21161523730163e-15
"ENSG00000259514",359.508143094024,-10.0827489247336,1.16391614347584,-8.66277951487394,4.60398344294189e-18,5.09173486533826e-15
"ENSG00000267502",318.012803817832,-9.90538332638931,1.14326628806105,-8.66410864190584,4.5505927478109e-18,5.09173486533826e-15
"ENSG00000255542",422.15115384979,-10.0368972996441,1.16185915441499,-8.63865233707935,5.68799776442986e-18,6.11085976965977e-15
"ENSG00000229922",295.93511252278,-9.80171759306039,1.14334167404848,-8.57286829959879,1.00938915402058e-17,1.04556229948282e-14
"ENSG00000264781",283.128157150349,-9.57561247718412,1.11725331953995,-8.57067265741224,1.02882307007246e-17,1.04556229948282e-14
"ENSG00000270909",274.600693852515,9.80984441156551,1.14825535793951,8.54326029810029,1.3048702256748e-17,1.29120342699537e-14
"ENSG00000233952",1029.16896610374,-10.7638337086109,1.26106553525454,-8.53550700395465,1.39542153089898e-17,1.34540103602214e-14
"ENSG00000272225",287.552240733718,-9.639990384509,1.13127233858372,-8.52137019152931,1.57676670133979e-17,1.48223953759447e-14
"ENSG00000235616",262.785472923029,9.59246948059866,1.13405194581551,8.45858032869965,2.70652159124937e-17,2.35496720064168e-14
"ENSG00000271156",270.793525845159,9.54927288895641,1.12927675350505,8.4560962220442,2.76477491260422e-17,2.35496720064168e-14
"ENSG00000253228",237.92313046579,9.60334375016701,1.13536142302106,8.45840236901273,2.71065424245598e-17,2.35496720064168e-14
"ENSG00000258895",265.842314536581,9.17739098812767,1.08558599374021,8.45385905957436,2.81829487869995e-17,2.35496720064168e-14
"ENSG00000226434",277.312604726565,-9.707487892361,1.14775175638752,-8.45782882782487,2.72401565551506e-17,2.35496720064168e-14
"ENSG00000249742",327.545389779277,-9.35495185773675,1.10797042700464,-8.44332270043301,3.08442061031436e-17,2.5213126910661e-14
"ENSG00000272827",295.792008158703,-9.57851000834697,1.135784313755,-8.43338818149339,3.35798529367129e-17,2.64042112194138e-14
"ENSG00000228329",256.041884810658,-9.46385076727448,1.12224667904885,-8.43295056599813,3.37057108273992e-17,2.64042112194138e-14
"ENSG00000249334",248.883569807794,-9.55164451867013,1.13390790670139,-8.42365104098836,3.64930111563622e-17,2.75927504088626e-14
"ENSG00000231765",223.470547312735,9.3077194468049,1.10503366928261,8.42301886859928,3.66905356215928e-17,2.75927504088626e-14
"ENSG00000251149",252.822842955957,-9.57431812625971,1.13782533339164,-8.41457633723139,3.943174226354e-17,2.9072791619483e-14
"ENSG00000203581",302.550389423997,-9.53621825021636,1.14117363630301,-8.35650066462301,6.4606069418451e-17,4.67176427360115e-14
"ENSG00000254364",411.85557062819,-10.0232390670899,1.20172657158874,-8.34069854495994,7.38529486528429e-17,5.23965768914e-14
"ENSG00000248969",286.316049423832,-9.37835350346233,1.12590950934779,-8.32958015328868,8.11295533968546e-17,5.64932123486764e-14
"ENSG00000268455",261.538376091262,-9.4672056721791,1.13917213404743,-8.31060152300475,9.52181617855831e-17,6.50980603538454e-14
"ENSG00000242444",240.283323788158,-9.37199123708403,1.12927205335648,-8.29914386814774,1.04864318954413e-16,7.04126450236401e-14
"ENSG00000260788",214.280425462463,-9.33467740569161,1.1251063109551,-8.29670699986335,1.07036935673662e-16,7.06105764070359e-14
"ENSG00000206965",242.263019561201,-9.02629233540381,1.08823205485549,-8.29445548413147,1.09083717959431e-16,7.0720102805354e-14
